Activity Period,GEO Summary,Passenger Count
201902,Domestic,2763185
201905,International,1342218
201908,International,1514212
201906,Domestic,3972171
201907,Domestic,4081947
201909,International,1279223
201904,International,1204369
201901,International,1148799
201903,International,1149326
201908,Domestic,4228225
201907,International,1530365
201906,International,1494517
201909,Domestic,3192185
201904,Domestic,3488572
201902,International,989578
201905,Domestic,3665783
201903,Domestic,3449863
201901,Domestic,3008022
