Activity Period,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count
201901,ABC Aerolineas S.A. de C.V. dba Interjet,4O,ABC Aerolineas S.A. de C.V. dba Interjet,4O,International,Mexico,Deplaned,Other,International,A,7071
201901,ABC Aerolineas S.A. de C.V. dba Interjet,4O,ABC Aerolineas S.A. de C.V. dba Interjet,4O,International,Mexico,Enplaned,Other,International,A,5517
201901,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Deplaned,Other,International,G,6444
201901,Aer Lingus,EI,Aer Lingus,EI,International,Europe,Enplaned,Other,International,G,5448
201901,Aeromexico,AM,Aeromexico,AM,International,Mexico,Deplaned,Other,International,A,14767
201901,Aeromexico,AM,Aeromexico,AM,International,Mexico,Enplaned,Other,International,A,12587
201901,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,International,G,31173
201901,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,International,G,27681
201901,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,International,G,10466
201901,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,International,G,9361
201901,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,International,A,8431
201901,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,International,A,7246
201901,Air India Limited,AI,Air India Limited,AI,International,Asia,Deplaned,Other,International,G,8667
201901,Air India Limited,AI,Air India Limited,AI,International,Asia,Enplaned,Other,International,G,7813
201901,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Deplaned,Other,International,G,7835
201901,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Enplaned,Other,International,G,8915
201901,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Deplaned,Other,International,G,2369
201901,Air Pacific Limited dba Fiji Airways,FJ,Air Pacific Limited dba Fiji Airways,FJ,International,Australia / Oceania,Enplaned,Other,International,G,2830
201901,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 2,D,218037
201901,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 2,D,206378
201901,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,International,A,10406
201901,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,Terminal 2,D,9208
201901,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Deplaned,Other,International,G,7302
201901,All Nippon Airways,NH,All Nippon Airways,NH,International,Asia,Enplaned,Other,International,G,6504
201901,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 1,C,32816
201901,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 1,C,33768
201901,American Airlines,AA,American Airlines,AA,Domestic,US,Deplaned,Other,Terminal 2,D,121463
201901,American Airlines,AA,American Airlines,AA,Domestic,US,Enplaned,Other,Terminal 2,D,110392
201901,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Deplaned,Other,International,A,9490
201901,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Enplaned,Other,International,A,8285
201901,British Airways,BA,British Airways,BA,International,Europe,Deplaned,Other,International,A,16577
201901,British Airways,BA,British Airways,BA,International,Europe,Enplaned,Other,International,A,14362
201901,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Deplaned,Other,International,G,10062
201901,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Enplaned,Other,International,G,8846
201901,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Deplaned,Other,International,A,28970
